year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
2014,Brazil,Belo Horizonte,Group H,Belgium,Algeria,2,1,H,,Belgium,Algeria,17-06-2014,Jun,Tuesday
2014,Brazil,Fortaleza,Group A,Brazil,Mexico,0,0,D,,NA,NA,17-06-2014,Jun,Tuesday
2014,Brazil,Cuiabá,Group H,Russia,South Korea,1,1,D,,NA,NA,17-06-2014,Jun,Tuesday
2014,Brazil,Curitiba,Group B,Australia,Netherlands,2,3,A,,Netherlands,Australia,18-06-2014,Jun,Wednesday
2014,Brazil,Manaus,Group A,Cameroon,Croatia,0,4,A,,Croatia,Cameroon,18-06-2014,Jun,Wednesday
2014,Brazil,Rio de Janeiro,Group B,Spain,Chile,0,2,A,,Chile,Spain,18-06-2014,Jun,Wednesday
2014,Brazil,Brasília,Group C,Colombia,Ivory Coast,2,1,H,,Colombia,Ivory Coast,19-06-2014,Jun,Thursday
2014,Brazil,Natal,Group C,Japan,Greece,0,0,D,,NA,NA,19-06-2014,Jun,Thursday
2014,Brazil,Sao Paulo,Group D,Uruguay,England,2,1,H,,Uruguay,England,19-06-2014,Jun,Thursday
2014,Brazil,Curitiba,Group E,Honduras,Ecuador,1,2,A,,Ecuador,Honduras,20-06-2014,Jun,Friday
2014,Brazil,Recife,Group D,Italy,Costa Rica,0,1,A,,Costa Rica,Italy,20-06-2014,Jun,Friday
2014,Brazil,Salvador,Group E,Switzerland,France,2,5,A,,France,Switzerland,20-06-2014,Jun,Friday
2014,Brazil,Belo Horizonte,Group F,Argentina,Iran,1,0,H,,Argentina,Iran,21-06-2014,Jun,Saturday
2014,Brazil,Fortaleza,Group G,Germany,Ghana,2,2,D,,NA,NA,21-06-2014,Jun,Saturday
2014,Brazil,Cuiabá,Group F,Nigeria,Bosnia and Herzegovina,1,0,H,,Nigeria,Bosnia and Herzegovina,21-06-2014,Jun,Saturday
2014,Brazil,Rio de Janeiro,Group H,Belgium,Russia,1,0,H,,Belgium,Russia,22-06-2014,Jun,Sunday
2014,Brazil,Porto Alegre,Group H,South Korea,Algeria,2,4,A,,Algeria,South Korea,22-06-2014,Jun,Sunday
2014,Brazil,Manaus,Group G,United States,Portugal,2,2,D,,NA,NA,22-06-2014,Jun,Sunday
2014,Brazil,Curitiba,Group B,Australia,Spain,0,3,A,,Spain,Australia,23-06-2014,Jun,Monday
2014,Brazil,Brasília,Group A,Brazil,Cameroon,4,1,H,,Brazil,Cameroon,23-06-2014,Jun,Monday
2014,Brazil,Recife,Group A,Croatia,Mexico,1,3,A,,Mexico,Croatia,23-06-2014,Jun,Monday
2014,Brazil,Sao Paulo,Group B,Netherlands,Chile,2,0,H,,Netherlands,Chile,23-06-2014,Jun,Monday
2014,Brazil,Belo Horizonte,Group D,Costa Rica,England,0,0,D,,NA,NA,24-06-2014,Jun,Tuesday
2014,Brazil,Fortaleza,Group C,Greece,Ivory Coast,2,1,H,,Greece,Ivory Coast,24-06-2014,Jun,Tuesday
2014,Brazil,Natal,Group D,Italy,Uruguay,0,1,A,,Uruguay,Italy,24-06-2014,Jun,Tuesday
2014,Brazil,Cuiabá,Group C,Japan,Colombia,1,4,A,,Colombia,Japan,24-06-2014,Jun,Tuesday
2014,Brazil,Salvador,Group F,Bosnia and Herzegovina,Iran,3,1,H,,Bosnia and Herzegovina,Iran,25-06-2014,Jun,Wednesday
2014,Brazil,Rio de Janeiro,Group E,Ecuador,France,0,0,D,,NA,NA,25-06-2014,Jun,Wednesday
2014,Brazil,Manaus,Group E,Honduras,Switzerland,0,3,A,,Switzerland,Honduras,25-06-2014,Jun,Wednesday
2014,Brazil,Porto Alegre,Group F,Nigeria,Argentina,2,3,A,,Argentina,Nigeria,25-06-2014,Jun,Wednesday
2014,Brazil,Curitiba,Group H,Algeria,Russia,1,1,D,,NA,NA,26-06-2014,Jun,Thursday
