year,country,city,stage,home_team,away_team,home_score,away_score,outcome,win_conditions,winning_team,losing_team,date,month,dayofweek
2022,Qatar,Doha,Group G,SERBIA,SWITZERLAND,2,3,A,,SWITZERLAND,SERBIA,03-12-2022,Dec,Saturday
2022,Qatar,Lusail,Group G,CAMEROON,BRAZIL,1,0,H,,CAMEROON,BRAZIL,03-12-2022,Dec,Saturday
2022,Qatar,Al Rayyan,Round of 16,NETHERLANDS,UNITED STATES,3,1,H,,NETHERLANDS,UNITED STATES,03-12-2022,Dec,Saturday
2022,Qatar,Al Rayyan,Round of 16,Argentina,AUSTRALIA,2,1,H,,Argentina,AUSTRALIA,04-12-2022,Dec,Sunday
2022,Qatar,Doha,Round of 16,France,POLAND,3,1,H,,France,POLAND,04-12-2022,Dec,Sunday
2022,Qatar,Al Khor,Round of 16,ENGLAND,SENEGAL,3,0,H,,ENGLAND,SENEGAL,05-12-2022,Dec,Monday
2022,Qatar,Al Wakrah,Round of 16,JAPAN,CROATIA,1,1,A,Croatia won in penalties (3 - 1),CROATIA,Japan,05-12-2022,Dec,Monday
2022,Qatar,Doha,Round of 16,BRAZIL,KOREA REPUBLIC,4,1,H,,BRAZIL,KOREA REPUBLIC,06-12-2022,Dec,Tuesday
2022,Qatar,Al Rayyan,Round of 16,MOROCCO,SPAIN,0,0,H,Morocco won in penalties (3 - 0),MOROCCO,SPAIN,06-12-2022,Dec,Tuesday
2022,Qatar,Lusail,Round of 16,PORTUGAL,SWITZERLAND,6,1,H,,PORTUGAL,SWITZERLAND,07-12-2022,Dec,Wednesday
2022,Qatar,Al Rayyan,Quarter-final,CROATIA,BRAZIL,1,1,H,Croatia won in penalties (4 - 2),Croatia,BRAZIL,09-12-2022,Dec,Friday
2022,Qatar,Lusail,Quarter-final,NETHERLANDS,Argentina,2,2,A,Argentina won in penalties (4 - 3),Argentina,Netherlands,10-12-2022,Dec,Saturday
2022,Qatar,Doha,Quarter-final,MOROCCO,PORTUGAL,1,0,H,,MOROCCO,PORTUGAL,10-12-2022,Dec,Saturday
2022,Qatar,Al Khor,Quarter-final,ENGLAND,France,1,2,A,,France,ENGLAND,11-12-2022,Dec,Sunday
2022,Qatar,Lusail,Semi-final,Argentina,CROATIA,3,0,H,,Argentina,CROATIA,14-12-2022,Dec,Wednesday
2022,Qatar,Al Khor,Semi-final,France,MOROCCO,2,0,H,,France,MOROCCO,15-12-2022,Dec,Thursday
2022,Qatar,Al Rayyan,Play-off for third place,CROATIA,MOROCCO,2,1,H,,CROATIA,MOROCCO,17-12-2022,Dec,Saturday
2022,Qatar,Lusail,Final,Argentina,France,3,3,H,Argentina won in penalties (4 - 2),Argentina,France,18-12-2022,Dec,Sunday
